"year","month","EPUType","State","EPU_value"
2000,6,"Composite","NC",173.934025793803
2000,6,"National","ND",75.1745971796922
2000,6,"State","ND",25.0581990598974
2000,6,"Composite","ND",75.1745971796922
2000,6,"National","NE",89.4095730370291
2000,6,"State","NE",89.4095730370291
2000,6,"Composite","NE",160.937231466652
2000,6,"National","NH",48.7860800326657
2000,6,"State","NH",97.5721600653313
2000,6,"Composite","NH",97.5721600653313
2000,6,"National","NJ",113.953056483013
2000,6,"State","NJ",85.4647923622599
2000,6,"Composite","NJ",159.534279076218
2000,6,"National","NM",24.5305376714016
2000,6,"State","NM",24.5305376714016
2000,6,"Composite","NM",24.5305376714016
2000,6,"National","NY",70.480732855599
2000,6,"State","NY",57.666054154581
2000,6,"Composite","NY",108.924768958653
2000,6,"National","OH",118.204954998891
2000,6,"State","OH",29.5512387497227
2000,6,"Composite","OH",124.115202748835
2000,6,"National","OK",98.3155982865449
2000,6,"State","OK",81.9296652387874
2000,6,"Composite","OK",163.859330477575
2000,6,"National","OR",115.542464259768
2000,6,"State","OR",38.5141547532561
2000,6,"Composite","OR",115.542464259768
2000,6,"National","PA",94.3357750019527
2000,6,"State","PA",36.9139989138076
2000,6,"Composite","PA",114.84355217629
2000,6,"National","RI",28.6413238531614
2000,6,"State","RI",28.6413238531614
2000,6,"Composite","RI",28.6413238531614
2000,6,"National","SC",34.5182793317534
2000,6,"State","SC",17.2591396658767
2000,6,"Composite","SC",51.7774189976301
2000,6,"National","TN",76.5682115643454
