ASSET,ELNATR,ID,LNLSGR,PTXNOINC,STNAME,YEAR
2923146,20345,SI_1990_MS,1803996,-14275,Mississippi,1990
1199106,1450,SI_1990_MT,681856,11796,Montana,1990
19276244,81805,SI_1990_NC,14276026,76056,North Carolina,1990
5237369,5226,SI_1990_ND,2367035,36899,North Dakota,1990
9061879,8276,SI_1990_NE,4079183,-354,Nebraska,1990
10225185,264095,SI_1990_NH,7491154,-328357,New Hampshire,1990
53406601,580709,SI_1990_NJ,33972782,-363182,New Jersey,1990
1458401,6017,SI_1990_NM,875466,-3609,New Mexico,1990
4598641,12816,SI_1990_NV,2023287,17204,Nevada,1990
152971337,1151976,SI_1990_NY,96971251,-301403,New York,1990
46670614,213971,SI_1990_OH,32060418,132806,Ohio,1990
6723795,29693,SI_1990_OK,2539245,24523,Oklahoma,1990
7212268,15395,SI_1990_OR,3688606,-224467,Oregon,1990
45082620,338485,SI_1990_PA,30536698,-86629,Pennsylvania,1990
5430628,59244,SI_1990_PR,3235804,-15971,Puerto Rico,1990
7143286,74055,SI_1990_RI,5297320,-25248,Rhode Island,1990
10881559,44070,SI_1990_SC,8233033,57784,South Carolina,1990
1350973,13341,SI_1990_SD,914550,-10555,South Dakota,1990
10863440,112152,SI_1990_TN,7027774,-60189,Tennessee,1990
58587196,85000,SI_1990_TX,16825715,111051,Texas,1990
3851404,25376,SI_1990_UT,2069159,10399,Utah,1990
26780737,381097,SI_1990_VA,17455683,-406550,Virginia,1990
40758,762,SI_1990_VI,32112,418,Virgin Islands Of The U.S.,1990
2221480,28327,SI_1990_VT,1701636,-10901,Vermont,1990
28641516,68926,SI_1990_WA,20526991,281118,Washington,1990
17596493,62562,SI_1990_WI,12933412,93853,Wisconsin,1990
1918190,11933,SI_1990_WV,1284499,3259,West Virginia,1990
912663,518,SI_1990_WY,404220,3341,Wyoming,1990
218487,2790,SI_1991_AK,92996,-798,Alaska,1991
4944757,24140,SI_1991_AL,2962945,11672,Alabama,1991
2357614,5512,SI_1991_AR,1227380,18527,Arkansas,1991
73215,90,SI_1991_AZ,51580,157,Arizona,1991
295106871,2008259,SI_1991_CA,227859293,340826,California,1991
8465977,9935,SI_1991_CO,3775151,69367,Colorado,1991
41906430,596136,SI_1991_CT,30155372,-372039,Connecticut,1991
1939017,818,SI_1991_DE,1066041,25179,Delaware,1991
41546211,205125,SI_1991_FL,26691960,15716,Florida,1991
14986410,70222,SI_1991_GA,9549881,36982,Georgia,1991
145372,194,SI_1991_GU,100020,3601,Guam,1991
7329981,14610,SI_1991_HI,4653910,90789,Hawaii,1991
4541145,5996,SI_1991_IA,2648275,47002,Iowa,1991
459229,779,SI_1991_ID,230110,3145,Idaho,1991
45578114,94242,SI_1991_IL,26623498,354390,Illinois,1991
13726063,25200,SI_1991_IN,9428651,147433,Indiana,1991
8714983,18304,SI_1991_KS,6143135,94878,Kansas,1991
7536839,15060,SI_1991_KY,4820178,63864,Kentucky,1991
5718213,14446,SI_1991_LA,3418645,14796,Louisiana,1991
54256366,542587,SI_1991_MA,35781278,-331609,Massachusetts,1991
19904059,274121,SI_1991_MD,13393108,-8040,Maryland,1991
6111854,70802,SI_1991_ME,4450708,-22943,Maine,1991
29705109,68113,SI_1991_MI,14623227,177768,Michigan,1991
6880731,12913,SI_1991_MN,4152586,21108,Minnesota,1991
15013004,25654,SI_1991_MO,8115434,51417,Missouri,1991
2872446,18360,SI_1991_MS,1832544,14865,Mississippi,1991
1246423,1314,SI_1991_MT,695821,15721,Montana,1991
17291838,60823,SI_1991_NC,12564886,143073,North Carolina,1991
5285599,8857,SI_1991_ND,2679004,33601,North Dakota,1991
8141734,15583,SI_1991_NE,5245326,7789,Nebraska,1991
9884188,111205,SI_1991_NH,6890181,-65820,New Hampshire,1991
50093244,336795,SI_1991_NJ,29485672,56392,New Jersey,1991
1220820,2865,SI_1991_NM,748053,6501,New Mexico,1991
3876947,14342,SI_1991_NV,1830953,-42940,Nevada,1991
137602958,1428958,SI_1991_NY,84332737,-578692,New York,1991
40627744,129030,SI_1991_OH,26838430,198599,Ohio,1991
5371687,10058,SI_1991_OK,1830183,66229,Oklahoma,1991
1869404,2429,SI_1991_OR,1398249,25975,Oregon,1991
40991567,218369,SI_1991_PA,26361246,52780,Pennsylvania,1991
