State,G_hcluster,hclust_score
pennsylvania,0,-0.741414708010607
pennsylvania,0,-0.741414708010607
rhode island,0,-0.7423787248025704
rhode island,0,-0.7423787248025704
rhode island,0,-0.7423787248025704
kentucky,0,-0.7429764840208207
kentucky,0,-0.7429764840208207
kentucky,0,-0.7429764840208207
massachusetts,0,-0.74334432380961
vermont,0,-0.749526099069257
vermont,0,-0.749526099069257
illinois,0,-0.7495838030836606
tennessee,0,-0.749603763610088
tennessee,0,-0.749603763610088
michigan,0,-0.7498958002362895
michigan,0,-0.7498958002362895
alaska,0,-0.7535798078842867
alaska,0,-0.7535798078842867
alaska,0,-0.7535798078842867
